Series▲▼,Product Image,Configuration▲▼,Package▲▼,Ch▲▼,VDS(V)▲▼,VGS(V)▲▼,RDS(on)@1.2V(Ω)▲▼,RDS(on)1.5V(Ω)▲▼,RDS(on)@1.8V(Ω)▲▼,RDS(on)@2.5V(Ω)▲▼,RDS(on)@3V(Ω)▲▼,RDS(on)@4.5V(Ω)▲▼,RDS(on)@6V(Ω)▲▼,RDS(on)@7.5V(Ω)▲▼,RDS(on)@10V(Ω)▲▼,Qg@4.5V(nC)▲▼,Qg@10V(nC)▲▼,Qgs(nC)▲▼,Qgd(nC)▲▼,IDMax.(A)▲▼,PDMax.(W)▲▼,VGS(th)Min.(V)▲▼,RgTyp.(Ω)▲▼,Image path
Si8457DB,Enlarge,Single,MICRO FOOT 1.6 x 1.6,P,-12,8,,,0.035,0.0234,,0.019,,,,37,,4.2,10,10.2,2.7,0.4,16,image/mosfets/92341.png
Si8466EDB,Enlarge,Single,MICRO FOOT 1 x 1,N,8,5,0.09,0.06,,0.046,,0.043,,,,8.5,,0.9,1.6,5.4,1.8,0.35,6,image/mosfets/92412.png
Si8472DB,Enlarge,Single,MICRO FOOT 1 x 1,N,20,8,,0.07,0.056,0.05,,0.044,,,,6.8,,0.8,1.1,4.5,1.8,0.4,5.3,image/mosfets/91990.png
Si8481DB,Enlarge,Single,MICRO FOOT 1.6 x 1.6,P,-20,8,,,0.039,0.025,,0.021,,,,31.2,,2.7,6.3,-9.7,2.8,-0.4,17,image/mosfets/92105.png
Si8483DB,,Single,MICRO FOOT 1.5 x 1,P,-12,10,,0.092,0.055,0.035,,0.026,,,,21,43,2.1,4.8,16,13,0.4,2.2,image/mosfets/92331.png
Si8487DB,Enlarge,Single,MICRO FOOT 1.6 x 1.6,P,-30,12,,,,0.045,,0.035,,,0.031,25,52,4.1,5.7,7.7,2.7,0.6,15,image/mosfets/91649.png
Si8489EDB,,Single,MICRO FOOT 1 x 1,P,-20,12,,,,0.082,,0.054,,,0.044,8.6,17.5,1.5,2.6,5.4,1.8,0.5,14,image/mosfets/91638.png
Si8497DB,Enlarge,Single,MICRO FOOT 1.5 x 1,P,-30,12,,,,0.071,,0.053,,,,16.3,32.6,2.5,4.9,13,13,0.5,8,image/mosfets/91597.png
Si8499DB,,Single,MICRO FOOT 1.5 x 1,P,-20,12,,,0.12,0.046,,0.032,,,,14.5,,2,4.1,16,13,0.5,7,image/mosfets/91772.png
Si8800EDB,Enlarge,Single,MICRO FOOT 0.8 x 0.8,N,20,8,,0.15,0.105,0.09,,0.08,,,,3.2,,0.42,0.5,2.8,0.9,0.4,1000,image/mosfets/92342.png
Si8802DB,Enlarge,Single,MICRO FOOT 0.8 x 0.8,N,8,5,0.135,0.086,0.068,0.06,,0.054,,,,4.3,,0.44,0.72,3.5,0.9,0.35,3.5,image/mosfets/92410.png
Si8806DB,Enlarge,Single,MICRO FOOT 0.8 x 0.8,N,12,8,,,0.075,0.055,,0.047,,,,6.5,,0.9,1.6,3.9,0.9,0.4,6,image/mosfets/91924.png
Si8808DB,Enlarge,Single,MICRO FOOT 0.8 x 0.8,N,30,8,,0.165,0.12,0.105,,0.095,,,,3.7,,0.53,0.52,2.5,0.9,0.4,3.1,image/mosfets/91573.png
Si8810EDB,Enlarge,Single,MICRO FOOT 0.8 x 0.8,N,20,8,,0.125,0.092,0.079,,0.072,,,,3,,0.35,0.45,2.9,0.9,0.4,5,image/mosfets/92250.png
Si8812DB,Enlarge,Single,MICRO FOOT 0.8 x 0.8,N,20,8,,,0.085,0.065,,0.059,,,,6.3,,0.8,1.4,3.2,0.9,0.4,6,image/mosfets/91642.png
Si8816EDB,Enlarge,Single,MICRO FOOT 0.8 x 0.8,N,30,12,,,,0.142,,0.116,,,0.109,2.4,4.4,0.35,0.55,2.3,0.9,0.6,4,image/mosfets/92101.png
Si8817DB,Enlarge,Single,MICRO FOOT 0.8 x 0.8,P,-20,8,,0.32,0.145,0.1,,0.076,,,,7.5,,1,1.9,-2.9,0.9,-0.4,14,image/mosfets/91825.png
Si8818EDB,Enlarge,Single,MICRO FOOT&#174; 0.8 x 0.8,N,30,12,,,,0.143,0.134,0.131,,,0.128,2.4,4.6,0.6,0.4,2.2,0.9,0.6,4,image/mosfets/92371.png
Si8819EDB,Enlarge,Single,MICRO FOOT 0.8 x 0.8,P,-12,8,,0.28,0.19,0.1,,,,,,7,,0.9,1.9,-2.9,0.9,-0.4,15,image/mosfets/91628.png
Si8821EDB,Enlarge,Single,MICRO FOOT 0.8 x 0.8,P,-30,12,,,,0.215,,0.128,,,,5.2,11,0.9,1.6,2.3,0.9,0.6,15,image/mosfets/91856.png
Si8823EDB,Enlarge,Single,MICRO FOOT 0.8 x 0.8,P,-20,8,,0.335,0.185,0.12,,0.095,,,,6.6,,1,1.5,-2.7,0.9,-0.4,20,image/mosfets/92070.png
Si8824EDB,Enlarge,Single,MICRO FOOT 0.8 x 0.8,N,20,5,0.175,0.125,0.09,0.082,,0.075,,,,2.7,,0.46,0.93,2.9,0.9,0.35,3,image/mosfets/92020.png
Si8851EDB,,Single,Power MICRO FOOT 2.4 x 2,P,-20,8,,,0.0185,0.011,,0.008,,,,70,,8,14,16.7,3.1,0.45,2.3,image/mosfets/92373.png
Si8902AEDB,Enlarge,Common drain,MICRO FOOT 2.4 x 1.6,N,24,12,,,0.0185,0.0155,,0.014,,,,,,,,11,5.7,0.4,5300,image/mosfets/92275.png
Si9634DY,Enlarge,Dual,SO-8,N,60,20,,,,,,0.038,,,0.029,3.3,7.1,1.7,0.9,8,3.6,1,1.6,image/mosfets/91844.png
Si9926CDY,Enlarge,Dual,SO-8,N,20,12,,,,0.022,,0.018,,,,10,22,2.5,1.7,8,3.1,0.6,2.4,image/mosfets/92298.png
Si9933CDY,Enlarge,Dual,SO-8,P,-20,12,,,,0.094,,0.058,,,,8,17,2,3,-4,3.1,-0.6,6,image/mosfets/92016.png
Si9945BDY,Enlarge,Dual,SO-8,N,60,20,,,,,,0.072,,,0.058,6,13,2.3,2.6,5.3,3.1,1,2,image/mosfets/92395.png
SiA106DJ,Enlarge,Single,PowerPAK SC-70,N,60,20,,,,,,,,0.0225,0.0185,,8.9,2.5,1.8,12,19,2,1.3,image/mosfets/92420.png
SiA108DJ,Enlarge,Single,PowerPAK SC-70,N,80,20,,,,,,,,0.046,0.038,,9.2,2.8,1.7,12,19,2,1.3,image/mosfets/92035.png
SiA110DJ,Enlarge,Single,PowerPAK SC-70,N,100,20,,,,,,,,0.072,0.055,,8.5,2.5,1.5,12,19,2,1.3,image/mosfets/92307.png
SiA112LDJ,Enlarge,Single,PowerPAK SC-70-6L,N,100,20,,,,,,0.135,,,0.119,2.7,5.9,1.3,0.6,8.8,15.6,1,1.4,image/mosfets/92442.png
SiA400EDJ,,Single,PowerPAK SC-70,N,30,12,,,,0.025,,0.019,,,,11.6,24,2.9,2.2,12,19.2,0.6,3.3,image/mosfets/92452.png
SiA413ADJ,Enlarge,Single,PowerPAK SC-70,P,-12,8,,0.1,0.044,0.034,,0.029,,,,23,,3,6.5,-12,19,-0.4,7,image/mosfets/92143.png
SiA416DJ,,Single,PowerPAK SC-70,N,100,20,,,,,,0.13,,,0.083,3.5,6.5,1.2,1.9,11.3,19,1.6,1.8,image/mosfets/92533.png
SiA421DJ,,Single,PowerPAK SC-70,P,-30,20,,,,,,0.056,,,0.035,10,19,3,4.5,12,19,1.5,6.5,image/mosfets/92302.png
SiA4263DJ,Enlarge,Single,PowerPAK SC-70,P,-20,8,,,0.0511,0.03,,0.022,,,,19.8,,2.6,3,-12,15.6,-0.4,10.6,image/mosfets/92336.png
SiA4265EDJ,Enlarge,Single,PowerPAK SC-70,P,-20,8,,,0.0675,0.041,,0.032,,,,13.8,,1.9,3,-9,15.6,-0.4,11,image/mosfets/92030.png
SiA427ADJ,Enlarge,Single,PowerPAK SC-70,P,-8,5,0.095,0.032,0.026,0.0215,,0.016,,,,30,,3,6.6,-12,19,-0.35,9,image/mosfets/92198.png
SiA429DJT,Enlarge,Single,Thin PowerPAK SC-70,P,-20,8,,0.06,0.036,0.027,,0.0205,,,,24.5,,2.4,6.7,-12,19,-0.4,6.3,image/mosfets/92311.png
SiA430DJT,Enlarge,Single,Thin PowerPAK SC-70,N,20,20,,,,,,0.0185,,,0.0135,5.3,12,2,1.4,12,19.2,1,2.5,image/mosfets/92530.png
SiA431DJ,Enlarge,Single,PowerPAK SC-70,P,-20,8,,0.07,0.041,0.031,,0.025,,,,24,,2.4,6.5,-12,19,-0.4,6.3,image/mosfets/91632.png
SiA432DJ,,Single,PowerPAK SC-70,N,30,20,,,,,,0.024,,,0.02,5.6,13,2,1.4,12,19.2,1,3,image/mosfets/91486.png
SiA433EDJ,Enlarge,Single,PowerPAK SC-70,P,-20,12,,,0.065,0.026,,0.018,,,,20,,3.3,8.4,-12,19,-0.5,1000,image/mosfets/91556.png
SiA436DJ,Enlarge,Single,PowerPAK SC-70,N,8,5,0.036,0.018,0.0125,0.0105,,0.0094,,,,15,,1.7,0.9,12,19,0.35,2.5,image/mosfets/92496.png
SiA4371EDJ,Enlarge,Single,PowerPAK SC-70,P,-30,12,,,,,,0.053,,,0.045,10.6,22.8,1.7,2.6,-9,15.6,-0.6,11,image/mosfets/92507.png
SiA437DJ,Enlarge,Single,PowerPAK SC-70,P,-20,8,,0.065,0.033,0.0205,,0.0145,,,,28,,4.2,6.8,29.7,19,0.4,8,image/mosfets/91630.png
SiA440DJ,,Single,PowerPAK SC-70,N,40,12,,,,0.035,,0.028,,,0.026,6.9,14.3,1.4,2,12,19,0.6,1,image/mosfets/91485.png
SiA441DJ,Enlarge,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/91536.png
SiA4446DJ,Enlarge,Single,PowerPAK SC-70,N,40,20,,,,,,0.015,,,0.011,5.9,12.6,3,1.2,31,19.2,1.1,2.5,image/mosfets/92353.png
SiA445EDJ,Enlarge,Single,PowerPAK SC-70,P,-20,12,,,,0.03,,0.0165,,,,23,48,3.1,6.7,-12,19,-0.5,6,image/mosfets/92340.png
SiA445EDJT,Enlarge,Single,Thin PowerPAK SC-70,P,-20,12,,,,0.031,,0.0167,,,,22,46,3.7,5.9,12,19,0.5,6,image/mosfets/92031.png
SiA446DJ,Enlarge,Single,PowerPAK SC-70,N,150,20,,,,,,,0.25,0.185,0.177,,5.3,1.2,1.8,7.7,19,2.5,2.3,image/mosfets/92104.png
SiA447DJ,Enlarge,Single,PowerPAK SC-70,P,-12,8,,0.071,0.0344,0.0194,,0.0135,,,,31,,4.2,7.8,-12,19,-0.4,4.3,image/mosfets/92332.png
SiA449DJ,,Single,PowerPAK SC-70,P,-30,12,,,,0.038,,0.024,,,0.02,23.1,48,2.5,6.2,12,19,0.6,3.3,image/mosfets/91648.png
SiA456DJ,Enlarge,Single,PowerPAK SC-70,N,200,16,,,3.5,1.5,,1.38,,,,5,9.5,0.7,1.7,2.6,19,0.6,2,image/mosfets/92558.png
SiA459EDJ,,Single,PowerPAK SC-70,P,-20,12,,,,0.062,,0.035,,,,10,20,1.6,2.9,9,15.6,0.6,11,image/mosfets/91634.png
SiA461DJ,Enlarge,Single,PowerPAK SC-70,P,-20,8,,,0.055,0.042,,0.033,,,,18,,2.1,4.8,-12,17.9,-0.4,6,image/mosfets/91596.png
SiA462DJ,Enlarge,Single,PowerPAK SC-70,N,30,20,,,,,,0.022,0.02,,0.018,5,11,1.7,1.6,12,19,1.2,1,image/mosfets/91606.png
SiA466EDJ,Enlarge,Single,PowerPAK SC-70,N,20,20,,,,,,0.013,0.0111,,0.0095,6.3,13,1.6,2.1,25,19.2,1,0.9,image/mosfets/92344.png
SiA468DJ,Enlarge,Single,PowerPAK SC-70,N,30,20,,,,,,0.0114,,,0.0084,8.2,17.6,3.1,1.3,37.8,19,1,1.4,image/mosfets/91922.png
SiA469DJ,Enlarge,Single,PowerPAK SC-70,P,-30,20,,,,,,0.04,,,0.0265,10,21,2.3,3.6,-12,15.6,-1,9,image/mosfets/91472.png
SiA471DJ,Enlarge,Single,PowerPAK SC-70,P,-30,-20,,,,,,0.0241,,,0.014,8.9,18.5,4.4,2.7,-30.3,19.2,-1,11,image/mosfets/92245.png
SiA477EDJT,Enlarge,Single,Thin PowerPAK SC-70-6L,P,-12,8,,,0.032,0.019,,0.013,,,,33,55,4.3,8.9,-12,19,-0.4,6,image/mosfets/91640.png
SiA483ADJ,Enlarge,Single,PowerPAK SC-70,P,-30,-20,,,,,,0.033,,,0.02,8.3,17,3.7,3,-12,17.9,-1,8.8,image/mosfets/91538.png
SiA483DJ,Enlarge,Single,PowerPAK SC-70,P,-30,20,,,,,,0.03,,,0.021,14,29,4.4,4.8,-12,19,-1,3.7,image/mosfets/91552.png
SiA517DJ,,N&P PAIR,PowerPAK SC-70,N,12,8,,0.065,0.044,0.034,,0.029,,,,5.6,,0.72,0.74,4.5,6.5,0.4,3.5,image/mosfets/91477.png
SiA517DJ,,N&P PAIR,PowerPAK SC-70,P,-12,8,,0.17,0.115,0.081,,0.061,,,,8.2,,1.2,2.8,4.5,6.5,0.4,10,image/mosfets/91609.png
SiA519EDJ,,N&P PAIR,PowerPAK SC-70,N,20,12,,,,0.065,,0.04,,,,3.7,7.7,0.85,0.95,4.5,7.8,0.6,3.5,image/mosfets/92368.png
SiA519EDJ,,N&P PAIR,PowerPAK SC-70,P,-20,12,,,,0.137,,0.09,,,,5.3,10.5,0.75,2,4.5,7.8,0.5,10,image/mosfets/91646.png
SiA527DJ,,N&P PAIR,PowerPAK SC-70,P,-12,8,,0.174,0.11,0.06,,0.041,,,,10.5,,2.3,2.5,4.5,7.8,0.4,5.5,image/mosfets/91601.png
SiA527DJ,,N&P PAIR,PowerPAK SC-70,N,12,8,,0.065,0.044,0.034,,0.029,,,,5.6,,0.72,0.74,4.5,7.8,0.4,3.5,image/mosfets/91453.png
SiA533EDJ,Enlarge,N- and p-pair,PowerPAK SC-70,N,12,8,,0.07,0.05,0.04,,0.034,,,,5.6,10,0.7,0.85,4.5,7.8,0.4,3.5,image/mosfets/91524.png
SiA533EDJ,Enlarge,N- and p-pair,PowerPAK SC-70,P,-12,8,,0.215,0.115,0.081,,0.059,,,,7.8,13,1.3,2.3,-4.5,7.8,-0.4,7,image/mosfets/91593.png
SiA537EDJ,Enlarge,N- and p-pair,PowerPAK SC-70,P,-20,8,,0.165,0.104,0.07,,0.054,,,,6.2,,1.4,2.3,-4.5,7.8,-0.4,5.1,image/mosfets/91581.png
SiA537EDJ,Enlarge,N- and p-pair,PowerPAK SC-70,N,12,8,,0.165,0.042,0.033,,0.028,,,,6.2,,0.8,1.6,4.5,7.8,0.4,4,image/mosfets/92108.png
SiA811ADJ,Enlarge,Dual plus integrated Schottky,PowerPAK SC-70,P,-20,8,,,,,,,,,,,,0.75,1.2,-4.5,6.5,-0.4,6,image/mosfets/92034.png
SiA817EDJ,Enlarge,Dual plus integrated Schottky,PowerPAK SC-70,P,-30,12,,,,0.125,,0.08,,,0.065,6.6,14,1.3,2,-4.5,6.5,-0.6,5.5,image/mosfets/92405.png
SiA906EDJ,Enlarge,Dual,PowerPAK SC-70,N,20,12,,,,0.063,,0.046,,,,3.5,7.5,0.95,0.75,4.5,7.8,0.6,3.5,image/mosfets/91544.png
SiA910EDJ,,DUAL,PowerPAK SC-70,N,12,8,,,0.042,0.033,,0.028,,,,6.2,,0.8,1.6,4.5,7.8,0.4,4,image/mosfets/92445.png
SiA918EDJ,Enlarge,DUAL,PowerPAK SC-70,N,30,8,,,0.077,0.065,,0.058,,,,3.6,,0.45,0.53,4.5,7.8,0.4,4.3,image/mosfets/92029.png
SiA921EDJ,,DUAL,PowerPAK SC-70,P,-20,12,,,,0.098,,0.059,,,,7.1,15,1.3,2.1,4.5,7.8,0.5,6.3,image/mosfets/92337.png
SiA923AEDJ,Enlarge,Dual,PowerPAK SC-70-6L,P,-20,8,,0.165,0.104,0.07,,0.054,,,,9.5,,1.4,2.3,-4.5,7.8,-0.4,5.1,image/mosfets/91636.png
SiA928DJ,Enlarge,Dual,PowerPAK SC-70,N,30,20,,,,,,0.033,0.029,,0.025,3,6.6,1.4,0.5,4.5,7.8,1.2,4.6,image/mosfets/91663.png
SiA929DJ,Enlarge,Dual,PowerPAK SC-70,P,-30,12,,,,0.12,,0.078,,,0.064,6.6,14,1.2,1.9,-4.5,7.8,-0.6,5.5,image/mosfets/92132.png
SiA931DJ,Enlarge,Dual,PowerPAK SC-70,P,-30,20,,,,,,0.1,0.08,,0.065,4.1,8.5,1.2,1.5,-4.5,7.8,-1.2,5.5,image/mosfets/92260.png
SiA938DJT,Enlarge,Dual,PowerPAK SC-70,N,20,12,,,,0.048,,0.0245,,,0.0215,3.5,7.6,1.2,0.63,4.5,7.8,0.6,2.8,image/mosfets/92125.png
SiA975DJ,Enlarge,Dual,PowerPAK SC-70,P,-12,8,,,0.11,0.06,,0.041,,,,10.5,,2.3,2.5,-4.5,7.8,-0.4,5.5,image/mosfets/92100.png
SiAA00DJ,Enlarge,Single,PowerPAK SC-70,N,25,16,,,,,,0.0075,,,0.0056,7.4,15.7,3,1.6,40,19.2,1,1.25,image/mosfets/92549.png
SiAA02DJ,Enlarge,Single,PowerPAK SC-70,N,20,12,,,,0.0162,,0.0059,,,0.0047,10.2,22,3.2,2.6,52,19,0.6,1.2,image/mosfets/92238.png
SiAA40DJ,Enlarge,Single,PowerPAK SC-70,N,40,20,,,,,,0.016,,,0.0125,7.7,16,3.2,1.8,30,19.2,1,1.9,image/mosfets/91987.png
SiB406EDK,Enlarge,Single,PowerPAK SC-75,N,20,12,,,,0.063,,0.046,,,,3.5,7.5,0.95,0.75,6,10,0.6,3.5,image/mosfets/92019.png
SiB4122DK,Enlarge,Single,PowerPAK SC-75,N,100,20,,,,,,,,0.167,0.16,,3.8,1.3,0.6,5.9,12.5,2,1.5,image/mosfets/92374.png
SiB422EDK,Enlarge,Single,PowerPAK SC-75,N,20,8,,0.082,0.057,0.041,,0.03,,,,6,,0.8,1.6,9,13,0.4,2300,image/mosfets/92273.png
SiB4316EDK,Enlarge,Single,PowerPAK SC-75,N,,,,,,,,,,,,,,,,,,,,image/mosfets/91558.png
SiB4317EDK,Enlarge,Single,PowerPAK SC-75,P,-30,12,,,,0.125,,0.08,,,0.065,6.6,14,1.3,2,-4.5,10,-0.6,5.5,image/mosfets/91546.png
SiB433EDK,,Single,PowerPAK SC-75,P,-20,8,,,0.105,0.077,,0.058,,,,7.6,,0.8,3.1,9,13,0.4,2000,image/mosfets/92292.png
SiB441EDK,Enlarge,Single,PowerPAK SC-75,P,-12,8,,0.115,0.06,0.036,,0.0255,,,,13.4,,1.6,3.4,-9,13,-0.4,11,image/mosfets/92010.png
SiB452DK,Enlarge,Single,PowerPAK SC-75,N,190,16,,,6,2.6,,2.4,,,,2.3,4.3,0.4,1,1.5,13,0.6,2.2,image/mosfets/91510.png
SiB456DK,Enlarge,Single,PowerPAK SC-75,N,100,20,,,,,,0.31,,,0.185,1.8,3.3,0.7,1,6.3,13,1.6,6.5,image/mosfets/91967.png
SiB457EDK,,Single,PowerPAK SC-75,P,-20,8,,0.157,0.079,0.049,,0.035,,,,13,22,1.2,3,9,13,0.4,1400,image/mosfets/92137.png
SiB912DK,Enlarge,Dual,PowerPAK SC-75,N,20,8,,,0.375,0.268,,0.216,,,,1.2,,0.3,0.15,1.5,3.1,0.4,2.5,image/mosfets/92309.png
SiDR104ADP,Enlarge,Single,PowerPAK SO-8DC,N,100,20,,,,,,,,0.0072,0.0061,,46.1,15.4,7.1,81,100,2,0.9,image/mosfets/92498.png
SiDR104AEP,Enlarge,Single,PowerPAK SO-8DC,N,100,20,,,,,,,,0.0072,0.0061,,46.1,15.4,7.1,90.5,120,2,0.9,image/mosfets/92378.png
SiDR140DP,Enlarge,Single,PowerPAK SO-8DC,N,25,20,,,,,,0.0009,,,0.00067,52.8,113,17.6,10.7,100,125,1,0.38,image/mosfets/92497.png
SiDR170DP,Enlarge,Single,PowerPAK SO-8DC,N,100,20,,,,,,0.00585,,,0.0048,42,93,17,8.7,95,125,1,0.9,image/mosfets/91481.png
SiDR220DP,Enlarge,Single,PowerPAK SO-8DC,N,25,16,,,,,,0.00082,,,0.00058,61,134,24,9.2,100,125,1,0.38,image/mosfets/91555.png
SiDR220EP,Enlarge,Single,PowerPAK SO-8DC,N,25,16,,,,,,0.00082,,,0.00058,61,134,24,9.2,415,150,1,0.38,image/mosfets/91480.png
SiDR390DP,Enlarge,Single,PowerPAK SO-8DC,N,30,20,,,,,,0.00115,,,0.0008,48,102,22,4.7,100,125,0.8,1.3,image/mosfets/91531.png
SiDR402DP,,Single,PowerPAK SO-8DC,N,40,20,,,,,,0.00116,,,0.00088,53,110,22.5,9.5,100,125,1.1,0.88,image/mosfets/91471.png
SiDR402EP,,Single,PowerPAK SO-8DC,N,40,20,,,,,,0.00116,,,0.00088,53,110,22.5,9.5,291,150,1.1,0.88,image/mosfets/91537.png
SiDR500EP,Enlarge,Single,PowerPAK SO-8DC,N,30,16,,,,,,0.00068,,,0.00047,54.3,120,25.6,8.7,421,150,1,0.9,image/mosfets/91553.png
SiDR5102EP,Enlarge,Single,PowerPAK SO-8DC,N,100,20,,,,,,,,0.0056,0.0041,,33.7,15.7,1.7,126,150,2,1.15,image/mosfets/91604.png
SiDR510EP,Enlarge,Single,PowerPAK SO-8DC,N,100,20,,,,,,,,0.0042,0.0036,,54,23.3,3,148,150,2,1.15,image/mosfets/91454.png
SiDR570EP,Enlarge,Single,PowerPAK SO-8DC,N,150,20,,,,,,,,0.0085,0.0079,,46.9,18.1,4.2,90.9,150,2,1.1,image/mosfets/91582.png
SiDR578EP,Enlarge,Single,PowerPAK SO-8DC,N,150,20,,,,,,,,0.01,0.0088,,32.5,15.3,3.1,78,150,2,1.35,image/mosfets/92110.png
SiDR5802EP,Enlarge,Single,PowerPAK SO-8DC,N,80,20,,,,,,,,0.004,0.0029,,37.3,16.5,3.2,153,150,2,1.1,image/mosfets/91547.png
SiDR608DP,,Single,PowerPAK SO-8DC,N,45,20,,,,,,0.0018,,,0.0012,50.5,111,26,7.8,208,104,1.1,0.88,image/mosfets/91509.png
SiDR608EP,,Single,PowerPAK SO-8DC,N,45,20,,,,,,0.0018,,,0.0012,50.5,111,26,7.8,228,125,1.1,0.88,image/mosfets/91389.png
SiDR610DP,Enlarge,Single,PowerPAK SO-8DC,N,200,20,,,,,,,,0.0334,0.0319,,25,6.4,6.8,39.6,125,2,2.1,image/mosfets/91258.png
SiDR610EP,Enlarge,Single,PowerPAK SO-8DC,N,200,20,,,,,,,,0.0334,0.0319,,25,6.4,6.8,39.6,150,2,2.1,image/mosfets/92135.png
SiDR622DP,,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/92399.png
SiDR626EP,Enlarge,Single,PowerPAK SO-8DC,N,60,20,,,,,,,,0.0021,0.00174,,68,25,7.4,227,150,2,0.62,image/mosfets/92136.png
SiDR626LDP,Enlarge,Single,PowerPAK SO-8DC,N,60,20,,,,,,0.0021,,,0.0015,41,89,17.4,10.8,204,125,1,0.88,image/mosfets/92209.png
SiDR626LEP,Enlarge,Single,PowerPAK SO-8DC,N,60,20,,,,,,0.0021,,,0.0015,41,89,17.4,10.8,218,150,1,0.88,image/mosfets/92090.png
SiDR668ADP,Enlarge,Single,PowerPAK SO-8DC,N,100,20,,,,,,,,0.007,0.0048,,54,17.5,11.4,104,125,2,0.9,image/mosfets/92297.png
SiDR668DP,Enlarge,Single,PowerPAK SO-8DC,N,100,20,,,,,,,,0.00505,0.0048,,72,21.6,12,95,125,2,0.9,image/mosfets/92036.png
SiDR680ADP,Enlarge,Single,PowerPAK SO-8DC,N,80,20,,,,,,,,0.0035,0.00288,,55,17,10,137,125,2,0.88,image/mosfets/92308.png
SiDR870ADP,Enlarge,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/92375.png
SiEH4800EW,Enlarge,Single,PowerPAK&#174; 8 x 8 BWL,N,80,20,,,,,,,,0.00135,0.00115,,185,51,24,381,417,2,1.2,image/mosfets/92448.png
SiHA100N60E,Enlarge,Single,Thin-Lead TO-220 FULLPAK,N,600,30,,,,,,,,,0.1,,33,13,10,12,35,3,0.7,image/mosfets/92144.png
SiHA105N60EF,Enlarge,Single,Thin-Lead TO-220 FULLPAK,N,600,30,,,,,,,,,0.102,,35,12,11,12,35,3,0.7,image/mosfets/92300.png
SiHA11N80AE,Enlarge,Single,Thin-Lead TO-220 FULLPAK,N,800,30,,,,,,,,,0.45,,28,6,12,8,31,2,1.5,image/mosfets/92335.png
SiHA11N80E,Enlarge,Single,Thin-Lead TO-220 FULLPAK,N,800,30,,,,,,,,,0.44,,44,9,16,12,34,2,0.9,image/mosfets/92500.png
SiHA120N60E,Enlarge,Single,Thin-Lead TO-220 FULLPAK,N,600,30,,,,,,,,,0.12,,30,10,12,25,34,3,0.65,image/mosfets/92004.png
SiHA125N60EF,Enlarge,Single,Thin-Lead TO-220 FULLPAK,N,600,30,,,,,,,,,0.125,,31,12,11,11,179,3,0.65,image/mosfets/92113.png
SiHA12N50E,Enlarge,Single,Thin-Lead TO-220 FULLPAK,N,500,30,,,,,,,,,0.38,,25,6,10,10.5,32,2,0.92,image/mosfets/92310.png
SiHA12N60E,Enlarge,Single,Thin-Lead TO-220 FULLPAK,N,600,30,,,,,,,,,0.38,,29,6,13,12,33,2,1.1,image/mosfets/92528.png
SiHA14N60E,Enlarge,Single,Thin-Lead TO-220 FULLPAK,N,600,30,,,,,,,,,0.309,,32,8,13,13,147,2,0.75,image/mosfets/92450.png
SiHA150N60E,Enlarge,Single,Thin-Lead TO-220 FULLPAK,N,600,30,,,,,,,,,0.158,,24,10,6,9,179,3,0.9,image/mosfets/92467.png
SiHA155N60EF,Enlarge,Single,Thin-Lead TO-220 FULLPAK,N,600,30,,,,,,,,,0.159,,25,10,6,9,33,3,0.9,image/mosfets/91829.png
SiHA15N50E,Enlarge,Single,Thin-Lead TO-220 FULLPAK,N,500,30,,,,,,,,,0.28,,33,8,14,14.5,33,2,0.85,image/mosfets/92352.png
SiHA15N60E,Enlarge,Single,Thin-Lead TO-220 FULLPAK,N,600,30,,,,,,,,,0.28,,38,11,17,15,34,2,0.86,image/mosfets/92398.png
SiHA15N65E,Enlarge,Single,Thin-Lead TO-220 FULLPAK,N,650,30,,,,,,,,,0.28,,48,11,21,15,34,2,0.6,image/mosfets/92339.png
SiHA15N80AE,Enlarge,Single,Thin-Lead TO-220 FULLPAK,N,800,30,,,,,,,,,0.35,,35,8,16,6,33,2,0.5,image/mosfets/92366.png
SiHA15N80AEF,Enlarge,Single,Thin-Lead TO-220 FULLPAK,N,800,30,,,,,,,,,0.35,,36,7,15,6,33,2,0.5,image/mosfets/91989.png
SiHA17N80AE,Enlarge,Single,Thin-Lead TO-220 FULLPAK,N,800,30,,,,,,,,,0.29,,41,8,18,7,34,2,0.5,image/mosfets/92141.png
SiHA17N80AEF,Enlarge,Single,Thin-Lead TO-220 FULLPAK,N,800,30,,,,,,,,,0.305,,42,9,19,6.5,34,2,0.5,image/mosfets/92333.png
SiHA17N80E,Enlarge,Single,Thin-Lead TO-220 FULLPAK,N,800,30,,,,,,,,,0.29,,61,14,23,6,35,2,0.7,image/mosfets/92556.png
SiHA180N60E,Enlarge,Single,Thin-Lead TO-220 FULLPAK,N,600,30,,,,,,,,,0.18,,22,7,11,9,33,3,0.7,image/mosfets/91635.png
SiHA186N60EF,Enlarge,Single,Thin-Lead TO-220 FULLPAK,N,600,30,,,,,,,,,0.193,,21,7,7,8.4,33,3,0.7,image/mosfets/91594.png
SiHA18N60E,Enlarge,Single,Thin-Lead TO-220 FULLPAK,N,600,30,,,,,,,,,0.202,,46,10,18,18,34,2,0.74,image/mosfets/91607.png
