Part Number▲▼,Product Image,Rev. Voltage(V)▲▼,IF(AV)(A)▲▼,VFat IF▲▼,IFSM(A)▲▼,trr(ns)▲▼,TJmax.(°C)▲▼,Package (JEDEC®) Code▲▼,CircuitConfiguration▲▼,AEC-Q101 Qualified▲▼,Image path
VS-HFA16TB120S-M3,Enlarge,1200,16,2.3,190,30,150,D2PAK (TO-263AB),Single,No,image/diodes/ultrafast-recovery/96312.png
VS-HFA16TB120SHM3,Enlarge,1200,16,2.3,190,30,150,D2PAK (TO-263AB),Single,Yes,image/diodes/ultrafast-recovery/94991.png
VS-HFA25PB60-N3,Enlarge,600,25,1.3,225,23,150,TO-247AC 2L,Single,No,image/diodes/ultrafast-recovery/94064.png
VS-HFA25TB60-M3,Enlarge,600,25,1.3,225,23,150,TO-220AC 2L,Single,No,image/diodes/ultrafast-recovery/96193.png
VS-HFA25TB60HN3,Enlarge,600,25,1.7,225,23,150,TO-220AC,Single,Yes,image/diodes/ultrafast-recovery/94412.png
VS-HFA25TB60S-M3,Enlarge,600,25,1.3,225,23,150,D2PAK (TO-263AB),Single,No,image/diodes/ultrafast-recovery/96311.png
VS-HFA25TB60SHM3,Enlarge,600,25,1.3,225,23,150,D2PAK (TO-263AB),Single,Yes,image/diodes/ultrafast-recovery/94675.png
VS-HFA30PA60C-N3,Enlarge,600,2 x 15,1.2,150,19,150,TO-247AC 3L,Common cathode,No,image/diodes/ultrafast-recovery/94068.png
VS-HFA30PB120-N3,Enlarge,1200,30,2.3,120,47,150,TO-247AC 2L,Single,No,image/diodes/ultrafast-recovery/94069.png
VS-HFA30PB120HN3,Enlarge,1200,30,2.3,120,47,150,TO-247AC modified (2 pins),Single die,Yes,image/diodes/ultrafast-recovery/94372.png
VS-HFA30TA60C-M3,Enlarge,600,2 x 15,1.2,150,19,150,TO-220AB 3L,Common cathode,No,image/diodes/ultrafast-recovery/96204.png
VS-HFA30TA60CHN3,Enlarge,600,2 x 15,1.2,150,19,150,TO-220AB,Common cathode,Yes,image/diodes/ultrafast-recovery/94511.png
VS-HFA30TA60CS-M3,Enlarge,600,2 x 15,1.2,150,19,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/ultrafast-recovery/96420.png
VS-HFA32PA120C-N3,Enlarge,1200,2 x 16,2.3,190,30,150,TO-247AC 3L,Common cathode,No,image/diodes/ultrafast-recovery/94073.png
VS-HFA50PA60C-N3,Enlarge,600,2 x 25,1.3,225,23,150,TO-247AC 3L,Common cathode,No,image/diodes/ultrafast-recovery/94074.png
VS-HFA50PA60CHN3,Enlarge,600,2 x 25,1.3,225,23,150,TO-247AC,Single die,Yes,image/diodes/ultrafast-recovery/94678.png
VS-MUR1020CT-M3,Enlarge,200,2 x 5,0.87,50,see datasheet,175,TO-220AB 3L,Common cathode,No,image/diodes/ultrafast-recovery/96199.png
VS-MUR1520-M3,Enlarge,200,15,0.85,200,see datasheet,175,TO-220AC 2L,Single,No,image/diodes/ultrafast-recovery/96185.png
VS-MUR1620CT-M3,Enlarge,200,2 x 8,0.895,100,see datasheet,175,TO-220AB 3L,Common cathode,No,image/diodes/ultrafast-recovery/96200.png
VS-MUR2020CT-M3,Enlarge,200,2 x 10,0.85,100,19,175,TO-220AB 3L,Common cathode,No,image/diodes/ultrafast-recovery/96201.png
VS-MUR3020WT-N3,Enlarge,200,2 x 15,0.85,200,see datasheet,175,TO-247AC 3L,Common cathode,No,image/diodes/ultrafast-recovery/94080.png
VS-MUR820-M3,Enlarge,200,8,0.895,100,see datasheet,175,TO-220AC 2L,Single,No,image/diodes/ultrafast-recovery/96186.png
VS-MURB1020CT-1-M3,Enlarge,200,2 x 5,0.87,50,25,175,TO-262AA,Common cathode,No,image/diodes/ultrafast-recovery/96389.png
VS-MURB1020CT-1HM3,Enlarge,200,2 x 5,0.87,50,19,175,TO-262AA,Common cathode,Yes,image/diodes/ultrafast-recovery/95807.png
VS-MURB1020CT-M3,Enlarge,200,2 x 5,0.87,50,25,175,D2PAK (TO-263AB),Common cathode,No,image/diodes/ultrafast-recovery/96389.png
VS-MURB1020CTHM3,Enlarge,200,2 x 5,0.87,50,19,175,D2PAK (TO-263AB),Common cathode,Yes,image/diodes/ultrafast-recovery/95807.png
VS-MURB1520-1-M3,Enlarge,200,15,0.85,200,35,175,TO-262AA,Single,No,image/diodes/ultrafast-recovery/96316.png
VS-MURB1520-M3,Enlarge,200,15,0.85,200,35,175,D2PAK (TO-263AB),Single,No,image/diodes/ultrafast-recovery/96316.png
VS-MURB1620CT-1-M3,Enlarge,200,2 x 8,0.895,100,35,175,TO-262AA,Common cathode,No,image/diodes/ultrafast-recovery/96390.png
VS-MURB1620CT-1HM3,Enlarge,200,2 x 8,0.895,100,19,175,TO-262AA,Common cathode,Yes,image/diodes/ultrafast-recovery/94852.png
VS-MURB1620CT-M3,Enlarge,200,2 x 8,0.895,100,35,175,D2PAK (TO-263AB),Common cathode,No,image/diodes/ultrafast-recovery/96390.png
VS-MURB1620CTHM3,Enlarge,200,2 x 8,0.895,100,19,175,D2PAK (TO-263AB),Common cathode,Yes,image/diodes/ultrafast-recovery/94852.png
VS-MURB2020CT-1-M3,Enlarge,200,2 x 10,0.85,100,35,175,TO-262AA,Common cathode,No,image/diodes/ultrafast-recovery/96391.png
VS-MURB2020CT-1HM3,Enlarge,200,2 x 10,0.85,100,19,175,TO-262AA,Common cathode,Yes,image/diodes/ultrafast-recovery/94807.png
VS-MURB2020CT-M3,Enlarge,200,2 x 10,0.85,100,35,175,D2PAK (TO-263AB),Common cathode,No,image/diodes/ultrafast-recovery/96391.png
VS-MURB2020CTHM3,Enlarge,200,2 x 10,0.85,100,19,175,D2PAK (TO-263AB),Common cathode,Yes,image/diodes/ultrafast-recovery/94807.png
VS-MURB820-1-M3,Enlarge,200,8,0.895,100,35,175,TO-262AA,Single,No,image/diodes/ultrafast-recovery/96392.png
VS-MURB820-1HM3,Enlarge,200,8,0.75,100,35,175,TO-262AA,Single,Yes,image/diodes/ultrafast-recovery/95902.png
VS-MURB820-M3,Enlarge,200,8,0.895,100,35,175,D2PAK (TO-263AB),Single,No,image/diodes/ultrafast-recovery/96392.png
VS-MURB820HM3,Enlarge,200,8,0.75,100,35,175,D2PAK (TO-263AB),Single,Yes,image/diodes/ultrafast-recovery/95902.png
VS-MURD620CT-M3,Enlarge,200,2 x 3,0.9,50,see datasheet,175,DPAK (TO-252AA),Common cathode,No,image/diodes/ultrafast-recovery/93497.png
VS-MURD620CTHM3,Enlarge,200,2 x 3,0.9,50,see datasheet,175,DPAK (TO-252AA),Common cathode,Yes,image/diodes/ultrafast-recovery/94742.png
