Series▲▼;Product Image;Order Code▲▼;Cap (µF)▲▼;Voltage (V)▲▼;Form▲▼;Case Size▲▼;Temp Max (°C)▲▼;Useful Life▲▼;Style▲▼;Technology▲▼;Image path
196 HVC ENYCAP™;Enlarge;MAL219691131E3;4000000;1.4;Cell;Ø7.0x2.5;+70 °C;1000;"""SMD, Button Cell, Flat, One Cell, Form C""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219690108E3;90000000;8.4;Cell;35x25x20;+85 °C;1000;"""Button Cell, Radial, 3-pin, Stacked Horizontal, keyed polarity, Form G""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691152E3;4000000;2.8;Cell;7.0x14.0x2.5;+70 °C;1000;"""SMD,Button Cell,  Flat, Two Cells, Form E2""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691122E3;4000000;2.8;Cell;Ø7.0x5.0;+70 °C;1000;"""Button Cell, Radial, 2-pin, Stacked Horizontal, Form B2""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691102E3;4000000;2.8;Cell;Ø7.0x5.0;+70 °C;1000;"""Button Cell, Radial, 2-pin, Stacked Vertical, Form A2""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691112E3;4000000;2.8;Cell;Ø7.0x5.0;+70 °C;1000;"""Button Cell, Radial, 3-pin, Stacked Horizontal, keyed polarity, Form B3""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691153E3;4000000;4.2;Cell;13.0x14.0x2.5;+70 °C;1000;"""SMD, Button Cell, Flat, Three Cells, Form E3""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691103E3;4000000;4.2;Cell;Ø7.0x7.5;+70 °C;1000;"""Button Cell, Radial, 2-pin, Stacked Vertical, Form A2""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691123E3;4000000;4.2;Cell;Ø7.0x7.5;+70 °C;1000;"""Button Cell, Radial, 2-pin, Stacked Horizontal, Form B2""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691202E3;15000000;2.8;Cell;Ø12.0x5.0;+85 °C;1000;"""Button Cell, Radial, 2-pin, Stacked Vertical, Form A2""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691113E3;4000000;4.2;Cell;Ø7.0x7.5;+70 °C;1000;"""Button Cell, Radial, 3-pin, Stacked Horizontal, keyed polarity, Form B3""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691222E3;15000000;2.8;Cell;Ø12.0x5.0;+85 °C;1000;"""Button Cell, Radial, 2-pin, Stacked Horizontal, Form B2""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691154E3;4000000;5.6;Cell;14.0x14.0x2.5;+70 °C;1000;"""SMD, Button Cell, Flat, Four Cells, Form E4""";Supercapacitor;image/capacitors/energy-storage/28409.png
