Series▲▼;Product Image;Order Code▲▼;Cap (µF)▲▼;Voltage(V)▲▼;Form▲▼;Case Size▲▼;Temp Max(°C)▲▼;Useful Life▲▼;Style▲▼;Technology▲▼;Image path
021 ASM;Enlarge;MAL202115103E3;10000;16;Axial;Ø21x38;+85 °C;8000;"""Axial, Bulk or Paperstrip in Box""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202124471E3;470;10;Axial;Ø6.5x18;+85 °C;2500;"""Axial, Taped on Reel""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202148152E3;1500;63;Axial;Ø18x38;+85 °C;8000;"""Radial, 4 pin Soldering Star/Mounting Ring, Bulk""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202134471E3;470;10;Axial;Ø6.5x18;+85 °C;2500;"""Axial, Taped in Ammopack""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202114153E3;15000;10;Axial;Ø21x38;+85 °C;8000;"""Axial, Bulk or Paperstrip in Box""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202125689E3;68;16;Axial;Ø4.5x10;+85 °C;2500;"""Axial, Taped on Reel""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202118221E3;220;63;Axial;Ø10x30;+85 °C;8000;"""Axial, Bulk or Paperstrip in Box""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202136101E3;100;25;Axial;Ø6x10;+85 °C;2500;"""Axial, Taped in Ammopack""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202146682E3;6800;25;Axial;Ø21x38;+85 °C;8000;"""Radial, 4 pin Soldering Star/Mounting Ring, Bulk""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202135331E3;330;16;Axial;Ø6.5x18;+85 °C;2500;"""Axial, Taped in Ammopack""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202145103E3;10000;16;Axial;Ø21x38;+85 °C;8000;"""Radial, 4 pin Soldering Star/Mounting Ring, Bulk""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202119471E3;470;100;Axial;Ø18x30;+85 °C;8000;"""Axial, Bulk or Paperstrip in Box""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202144153E3;15000;10;Axial;Ø21x38;+85 °C;8000;"""Radial, 4 pin Soldering Star/Mounting Ring, Bulk""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202135689E3;68;16;Axial;Ø4.5x10;+85 °C;2500;"""Axial, Taped in Ammopack""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202128221E3;220;63;Axial;Ø10x30;+85 °C;8000;"""Axial, Taped on Reel""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202127101E3;100;40;Axial;Ø6.5x18;+85 °C;2500;"""Axial, Taped on Reel""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202125331E3;330;16;Axial;Ø6.5x18;+85 °C;2500;"""Axial, Taped on Reel""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202129159E3;15;100;Axial;Ø6.5x18;+85 °C;2500;"""Axial, Taped on Reel""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202128689E3;68;63;Axial;Ø6.5x18;+85 °C;2500;"""Axial, Taped on Reel""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202114222E3;2200;10;Axial;Ø12.5x30;+85 °C;8000;"""Axial, Bulk or Paperstrip in Box""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202137101E3;100;40;Axial;Ø6.5x18;+85 °C;2500;"""Axial, Taped in Ammopack""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202126331E3;330;25;Axial;Ø8x18;+85 °C;2500;"""Axial, Taped on Reel""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202139159E3;15;100;Axial;Ø6.5x18;+85 °C;2500;"""Axial, Taped in Ammopack""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202138689E3;68;63;Axial;Ø6.5x18;+85 °C;2500;"""Axial, Taped in Ammopack""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202124222E3;2200;10;Axial;Ø12.5x30;+85 °C;8000;"""Axial, Taped on Reel""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202190538E3;100;40;Axial;Ø8x11;+85 °C;2500;"""Axial, Taped in Ammopack""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
